system,condition,verdict,occurrences,first_location,scope_judgement
Endocrine and Metabolic,Pituitary apoplexy,OWNS ENTRY,3,06_Metabolic_Medicine_and_Endocrinology.md#Pituitary Apoplexy,covered - owns an entry
Endocrine and Metabolic,Sheehan's syndrome,IN A TAUGHT SECTION,2,06_Metabolic_Medicine_and_Endocrinology.md#Hypopituitarism,covered - named inside a teaching entry
Endocrine and Metabolic,Diabetic Foot Ulcer,IN A TAUGHT SECTION,1,06_Metabolic_Medicine_and_Endocrinology.md#Diabetic Foot,covered - named inside a teaching entry
Genitourinary and Reproductive,Balanitis circinata,ABSENT,0,weak-signal:Balanitis=9,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Premature Ejaculation,ABSENT,0,weak-signal:Ejaculation=3,"GAP: zero hits; a GP-level sexual health presentation, and erectile dysfunction IS covered"
Genitourinary and Reproductive,Sexual Dysfunction,IN A TAUGHT SECTION,7,04_Neurology.md#Multiple Sclerosis (MS),covered - named inside a teaching entry
Genitourinary and Reproductive,Bicornuate uterus,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Cervical agenesis,ABSENT,0,weak-signal:Cervical=118,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Cryptorchidism,OWNS ENTRY,6,15_11_Paeds_-_Urological_and_Renal_Anomalies__Wilms_Tumour__HUS.md#Cryptorchidism,covered - owns an entry
Genitourinary and Reproductive,Ectopic Testes,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Epispadias,ABSENT,0,,GAP: zero hits while hypospadias is covered; the other half of a pair
Genitourinary and Reproductive,Gartner's duct cyst,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Hematometra,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Hydrocele,IN A TAUGHT SECTION,10,03_Gastrointestinal.md#Types,covered - named inside a teaching entry
Genitourinary and Reproductive,Hypospadias,OWNS ENTRY,3,15_11_Paeds_-_Urological_and_Renal_Anomalies__Wilms_Tumour__HUS.md#Hypospadias,covered - owns an entry
Genitourinary and Reproductive,Imperforate hymen,IN A TAUGHT SECTION,1,17_01_FGM__Amenorrhoea__PCOS.md#Primary amenorrhoea,covered - named inside a teaching entry
Genitourinary and Reproductive,Mayer-Rokitansky-Kuster-Hauser syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Phimosis,OWNS ENTRY,5,15_11_Paeds_-_Urological_and_Renal_Anomalies__Wilms_Tumour__HUS.md#Phimosis,covered - owns an entry
Genitourinary and Reproductive,Septate uterus,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Transverse vaginal septum,ABSENT,0,weak-signal:Transverse=19,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Urethral diverticulum,ABSENT,0,weak-signal:diverticulum=7,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Benign Prostatic Hyperplasia (BPH),OWNS ENTRY,16,07_Renal_Medicine_and_Urology.md#Benign Prostatic Hyperplasia (BPH),covered - owns an entry
Genitourinary and Reproductive,Cystocele,IN A TAUGHT SECTION,1,17_08_Vaginal_Discharge__Urinary_Incontinence__Pelvic_Organ_Prolapse.md#Pelvic organ prolapse,covered - named inside a teaching entry
Genitourinary and Reproductive,Enterocele,IN A TAUGHT SECTION,1,17_08_Vaginal_Discharge__Urinary_Incontinence__Pelvic_Organ_Prolapse.md#Pelvic organ prolapse,covered - named inside a teaching entry
Genitourinary and Reproductive,Pelvic floor prolapse,ABSENT,0,weak-signal:prolapse=28,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Pelvic organ prolapse,OWNS ENTRY,7,17_08_Vaginal_Discharge__Urinary_Incontinence__Pelvic_Organ_Prolapse.md#Pelvic organ prolapse,covered - owns an entry
Genitourinary and Reproductive,Rectocele,IN A TAUGHT SECTION,2,17_08_Vaginal_Discharge__Urinary_Incontinence__Pelvic_Organ_Prolapse.md#Pelvic organ prolapse,covered - named inside a teaching entry
Genitourinary and Reproductive,Uterine prolapse,IN A TAUGHT SECTION,2,17_08_Vaginal_Discharge__Urinary_Incontinence__Pelvic_Organ_Prolapse.md#Pelvic organ prolapse,covered - named inside a teaching entry
Genitourinary and Reproductive,Atrophic Vaginitis,IN A TAUGHT SECTION,2,17_02_Menorrhagia__PMS__Menopause__HRT.md#Abnormal Uterine Bleeding — Approach and DDx,covered - named inside a teaching entry
Genitourinary and Reproductive,Corpus luteum cyst,MENTIONED,2,,named in prose only - not individually verified
Genitourinary and Reproductive,Erectile Dysfunction (ED),OWNS ENTRY,8,07_Renal_Medicine_and_Urology.md#Erectile Dysfunction (ED),covered - owns an entry
Genitourinary and Reproductive,Follicular cyst,MENTIONED,1,,named in prose only - not individually verified
Genitourinary and Reproductive,Gynecomastia,IN A TAUGHT SECTION,8,03_Gastrointestinal.md#Cirrhosis,covered - named inside a teaching entry
Genitourinary and Reproductive,Hypogonadism,IN A TAUGHT SECTION,9,03_Gastrointestinal.md#Haemochromatosis,covered - named inside a teaching entry
Genitourinary and Reproductive,Impotence,IN A TAUGHT SECTION,5,01_Cardiovascular.md#0.35.3 Leriche Syndrome,covered - named inside a teaching entry
Genitourinary and Reproductive,Infertility,IN A TAUGHT SECTION,24,02_Respiratory.md#Cystic Fibrosis,covered - named inside a teaching entry
Genitourinary and Reproductive,Luteal phase defect,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Male Infertility,ABSENT,0,weak-signal:Infertility=24,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Menopause,OWNS ENTRY,32,17_02_Menorrhagia__PMS__Menopause__HRT.md#Menopause,covered - owns an entry
Genitourinary and Reproductive,Ovarian cysts,OWNS ENTRY,8,17_10_Ovarian_Cancer__Cysts_and_Torsion.md#Ovarian cysts,covered - owns an entry
Genitourinary and Reproductive,Polycystic Ovarian Syndrome,OWNS ENTRY,2,17_01_FGM__Amenorrhoea__PCOS.md#Polycystic ovarian syndrome (PCOS),covered - owns an entry
Genitourinary and Reproductive,Premature ovarian failure,MENTIONED,1,,named in prose only - not individually verified
Genitourinary and Reproductive,Premature ovarian insufficiency,ABSENT,0,weak-signal:insufficiency=51,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Premenstrual Syndrome,OWNS ENTRY,0,17_02_Menorrhagia__PMS__Menopause__HRT.md#Premenstrual syndrome (PMS),covered - owns an entry
Genitourinary and Reproductive,Testicular atrophy,IN A TAUGHT SECTION,2,03_Gastrointestinal.md#Cirrhosis,covered - named inside a teaching entry
Genitourinary and Reproductive,Theca lutein cyst,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Secondary Amenorrhea,OWNS ENTRY,0,17_01_FGM__Amenorrhoea__PCOS.md#Secondary amenorrhoea,covered - owns an entry
Genitourinary and Reproductive,Asherman's syndrome,IN A TAUGHT SECTION,1,17_01_FGM__Amenorrhoea__PCOS.md#Causes,covered - named inside a teaching entry
Genitourinary and Reproductive,Cervical stenosis,ABSENT,0,weak-signal:Cervical=118,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Adenomyosis,OWNS ENTRY,4,17_05_PID__Endometriosis__Fibroids.md#Adenomyosis,covered - owns an entry
Genitourinary and Reproductive,Chronic Pelvic Pain Syndrome,OWNS ENTRY,0,17_05_PID__Endometriosis__Fibroids.md#Chronic pelvic pain,covered - owns an entry
Genitourinary and Reproductive,Endometriosis,OWNS ENTRY,15,17_05_PID__Endometriosis__Fibroids.md#Endometriosis,covered - owns an entry
Genitourinary and Reproductive,Fibrocystic breast changes,OWNS ENTRY,0,10_12_Oncology_-_Breast.md#Fibrocystic breast changes,covered - owns an entry
Genitourinary and Reproductive,Mammary duct ectasia,OWNS ENTRY,1,10_12_Oncology_-_Breast.md#Mammary duct ectasia,covered - owns an entry
Genitourinary and Reproductive,Ovarian hyperstimulation syndrome,OWNS ENTRY,2,17_06_Subfertility_and_OHSS.md#Ovarian hyperstimulation syndrome (OHSS),covered - owns an entry
Genitourinary and Reproductive,Ovarian remnant syndrome,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Peyronie's Disease,IN A TAUGHT SECTION,2,07_Renal_Medicine_and_Urology.md#Erectile Dysfunction (ED),covered - named inside a teaching entry
Genitourinary and Reproductive,Pulmonary endometriosis,ABSENT,0,weak-signal:endometriosis=12,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Spermatocele,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Ruptured Ovarian Cyst,MENTIONED,1,,named in prose only - not individually verified
Genitourinary and Reproductive,Acute Bacterial Prostatitis,IN A TAUGHT SECTION,1,07_Renal_Medicine_and_Urology.md#Prostatitis,covered - named inside a teaching entry
Genitourinary and Reproductive,Asymptomatic Prostatitis,ABSENT,0,weak-signal:Asymptomatic=140,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Bacterial vaginosis,OWNS ENTRY,3,08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md#Bacterial vaginosis,covered - owns an entry
Genitourinary and Reproductive,Balanitis,IN A TAUGHT SECTION,9,07_Renal_Medicine_and_Urology.md#Balanoposthitis,covered - named inside a teaching entry
Genitourinary and Reproductive,Balanoposthitis,OWNS ENTRY,1,07_Renal_Medicine_and_Urology.md#Balanoposthitis,covered - owns an entry
Genitourinary and Reproductive,Bartholin gland abscess,ABSENT,0,weak-signal:Bartholin=2,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Cervicitis,IN A TAUGHT SECTION,11,08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md#Chlamydia,covered - named inside a teaching entry
Genitourinary and Reproductive,Chlamydia,OWNS ENTRY,46,08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md#Chlamydia,covered - owns an entry
Genitourinary and Reproductive,Chronic Bacterial Prostatitis,ABSENT,0,weak-signal:Prostatitis=6,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Condylomata acuminata,ABSENT,0,weak-signal:Condylomata=2,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Endometritis,IN A TAUGHT SECTION,7,08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md#Chlamydia,covered - named inside a teaching entry
Genitourinary and Reproductive,Epididymitis,OWNS ENTRY,6,07_Renal_Medicine_and_Urology.md#Epididymitis,covered - owns an entry
Genitourinary and Reproductive,Epididymo-Orchitis,IN A TAUGHT SECTION,15,07_Renal_Medicine_and_Urology.md#Epididymitis,covered - named inside a teaching entry
Genitourinary and Reproductive,Fitz-Hugh-Curtis syndrome,IN A TAUGHT SECTION,2,08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md#Chlamydia,covered - named inside a teaching entry
Genitourinary and Reproductive,Gonorrhea,OWNS ENTRY,28,08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md#Gonorrhoea,covered - owns an entry
Genitourinary and Reproductive,Hydrosalpinx,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Mastitis,OWNS ENTRY,16,08_09_Infectious_Disease_-_Miscellaneous.md#Mastitis and Breast Abscess,covered - owns an entry
Genitourinary and Reproductive,Orchitis,IN A TAUGHT SECTION,17,07_Renal_Medicine_and_Urology.md#Epididymitis,covered - named inside a teaching entry
Genitourinary and Reproductive,Pelvic cellulitis,ABSENT,0,weak-signal:cellulitis=33,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Pelvic Inflammatory Disease (PID),OWNS ENTRY,20,17_05_PID__Endometriosis__Fibroids.md#Pelvic inflammatory disease (PID),covered - owns an entry
Genitourinary and Reproductive,Prostatitis,OWNS ENTRY,6,07_Renal_Medicine_and_Urology.md#Prostatitis,covered - owns an entry
Genitourinary and Reproductive,Pyometra,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Pyosalpinx,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Salpingitis,IN A TAUGHT SECTION,4,08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md#Gonorrhoea,covered - named inside a teaching entry
Genitourinary and Reproductive,Tubo-ovarian Abscess,IN A TAUGHT SECTION,1,17_05_PID__Endometriosis__Fibroids.md#Pelvic inflammatory disease (PID),covered - named inside a teaching entry
Genitourinary and Reproductive,Urethritis,IN A TAUGHT SECTION,10,07_Renal_Medicine_and_Urology.md#Epididymitis,covered - named inside a teaching entry
Genitourinary and Reproductive,Vulvovaginitis,IN A TAUGHT SECTION,2,08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md#Trichomonas vaginalis,covered - named inside a teaching entry
Genitourinary and Reproductive,Azoospermia,IN A TAUGHT SECTION,4,17_05_PID__Endometriosis__Fibroids.md#Male subfertility,covered - named inside a teaching entry
Genitourinary and Reproductive,Gonadal dysgenesis,IN A TAUGHT SECTION,3,17_01_FGM__Amenorrhoea__PCOS.md#Primary amenorrhoea,covered - named inside a teaching entry
Genitourinary and Reproductive,Primary amenorrhea,OWNS ENTRY,2,17_01_FGM__Amenorrhoea__PCOS.md#Primary amenorrhoea,covered - owns an entry
Genitourinary and Reproductive,Adenocarcinoma of the cervix,ABSENT,0,weak-signal:Adenocarcinoma=12,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Bartholin's gland carcinoma,ABSENT,0,weak-signal:Bartholin=2,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Borderline ovarian tumour,ABSENT,0,weak-signal:Borderline=8,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Cervical cancer,OWNS ENTRY,23,17_09_Cervical__Vaginal_and_Endometrial_Cancer.md#Cervical cancer screening,covered - owns an entry
Genitourinary and Reproductive,Cervical intraepithelial neoplasia,ABSENT,0,weak-signal:intraepithelial=5,COVERED - FALSE REJECTION: 17_09:30-31 teaches CIN I/II/III with the LLETZ referral rule. Rejected because the corpus only ever writes CIN
Genitourinary and Reproductive,Choriocarcinoma,IN A TAUGHT SECTION,6,07_Renal_Medicine_and_Urology.md#Testicular Cancer,covered - named inside a teaching entry
Genitourinary and Reproductive,Clear cell ovarian carcinoma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Endometrial cancer,OWNS ENTRY,21,17_09_Cervical__Vaginal_and_Endometrial_Cancer.md#Endometrial cancer,covered - owns an entry
Genitourinary and Reproductive,Endometrial hyperplasia,OWNS ENTRY,3,17_09_Cervical__Vaginal_and_Endometrial_Cancer.md#Endometrial hyperplasia,covered - owns an entry
Genitourinary and Reproductive,Endometrial stromal sarcoma,ABSENT,0,weak-signal:Endometrial=45,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Endometrioid ovarian carcinoma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Epithelial ovarian cancer,IN A TAUGHT SECTION,1,17_10_Ovarian_Cancer__Cysts_and_Torsion.md#Ovarian cancer,covered - named inside a teaching entry
Genitourinary and Reproductive,Fibroadenoma,OWNS ENTRY,11,10_12_Oncology_-_Breast.md#Fibroadenoma,covered - owns an entry
Genitourinary and Reproductive,Granulosa-theca cell tumour,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Gynecological tumour,ABSENT,0,weak-signal:Gynecological=8,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Hemorrhagic fibroid,ABSENT,0,weak-signal:Hemorrhagic=25,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Intraductal papilloma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Leiomyoma,OWNS ENTRY,3,17_05_PID__Endometriosis__Fibroids.md#Fibroids (uterine leiomyomata),covered - owns an entry
Genitourinary and Reproductive,Leydig Cell Tumour,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Meigs' syndrome,IN A TAUGHT SECTION,1,02_Respiratory.md#Pleural Effusions,covered - named inside a teaching entry
Genitourinary and Reproductive,Mucinous ovarian tumour,ABSENT,0,weak-signal:Mucinous=3,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Penile Tumours,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Placental-site trophoblastic tumour,ABSENT,0,weak-signal:trophoblastic=7,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Seminoma,IN A TAUGHT SECTION,12,07_Renal_Medicine_and_Urology.md#Testicular Cancer,covered - named inside a teaching entry
Genitourinary and Reproductive,Serous ovarian carcinoma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Sertoli Cell Tumour,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Sertoli-Leydig cell tumour,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Squamous cell carcinoma of the cervix,ABSENT,0,weak-signal:Squamous=19,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Struma ovarii,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Testicular Tumours,MENTIONED,2,,named in prose only - not individually verified
Genitourinary and Reproductive,Thecoma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Uterine cancer,MENTIONED,1,,named in prose only - not individually verified
Genitourinary and Reproductive,Uterine sarcoma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Vaginal cancer,OWNS ENTRY,2,17_09_Cervical__Vaginal_and_Endometrial_Cancer.md#Vaginal cancer,covered - owns an entry
Genitourinary and Reproductive,Vaginal Intraepithelial Neoplasia,ACRONYM MATCH ONLY,2,generated-initialism match only - not evidence of coverage,
Genitourinary and Reproductive,Vulvar cancer,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Vulvar Intraepithelial Neoplasia,ACRONYM MATCH ONLY,2,generated-initialism match only - not evidence of coverage,
Genitourinary and Reproductive,Yolk Sac Tumour,IN A TAUGHT SECTION,2,07_Renal_Medicine_and_Urology.md#Testicular Cancer,covered - named inside a teaching entry
Genitourinary and Reproductive,Fat necrosis of breast,ABSENT,0,weak-signal:necrosis=51,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Hematocele,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Ovarian Torsion,OWNS ENTRY,4,17_10_Ovarian_Cancer__Cysts_and_Torsion.md#Ovarian torsion,covered - owns an entry
Genitourinary and Reproductive,Paraphimosis,IN A TAUGHT SECTION,4,07_Renal_Medicine_and_Urology.md#Urinary Retention,covered - named inside a teaching entry
Genitourinary and Reproductive,Testicular Torsion,OWNS ENTRY,12,07_Renal_Medicine_and_Urology.md#Testicular Torsion,covered - owns an entry
Genitourinary and Reproductive,Urethral Stricture,IN A TAUGHT SECTION,5,07_Renal_Medicine_and_Urology.md#Urinary Retention,covered - named inside a teaching entry
Genitourinary and Reproductive,Vaginal inclusion cyst,ABSENT,0,weak-signal:inclusion=5,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Pelvic congestion syndrome,ABSENT,0,weak-signal:congestion=17,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Genitourinary and Reproductive,Priapism,OWNS ENTRY,11,07_Renal_Medicine_and_Urology.md#Priapism,covered - owns an entry
Genitourinary and Reproductive,Varicocele,IN A TAUGHT SECTION,6,07_Renal_Medicine_and_Urology.md#Renal Cell Carcinoma (RCC),covered - named inside a teaching entry
Gastroenterology,Acute pancreatitis,OWNS ENTRY,7,03_Gastrointestinal.md#Acute Pancreatitis,covered - owns an entry
Gastroenterology,Alcoholic Hepatitis,OWNS ENTRY,1,03_Gastrointestinal.md#Alcoholic hepatitis,covered - owns an entry
Gastroenterology,Alcoholic Liver Disease,IN A TAUGHT SECTION,2,03_Gastrointestinal.md#Non-Alcoholic Fatty Liver Disease (NAFLD),covered - named inside a teaching entry
Gastroenterology,Chronic pancreatitis,OWNS ENTRY,11,03_Gastrointestinal.md#Chronic Pancreatitis,covered - owns an entry
Gastroenterology,Cirrhosis,OWNS ENTRY,65,03_Gastrointestinal.md#Cirrhosis,covered - owns an entry
Gastroenterology,Pancreatitis,OWNS ENTRY,47,03_Gastrointestinal.md#Acute Pancreatitis,covered - owns an entry
Gastroenterology,Autoimmune atrophic gastritis,ABSENT,0,weak-signal:Autoimmune=124,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Gastroenterology,Autoimmune Hepatitis,OWNS ENTRY,1,03_Gastrointestinal.md#Autoimmune Hepatitis,covered - owns an entry
