cls,verdict,how,header,file,label,labelfile,labelhow,mr,n,found,named
SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors),OWNS,"alias ""SNRI""",Serotonin-noradrenaline reuptake inhibitors (SNRIs),14_06a_Psych_-_Drugs_Used_in_Psychiatry.md,,,,,2/3,venlafaxine|duloxetine,SNRIs|SNRI
Tricyclic Antidepressants (TCAs),OWNS,class name,Tricyclic antidepressants (TCAs),14_06a_Psych_-_Drugs_Used_in_Psychiatry.md,,,,,3/4,amitriptyline|clomipramine|imipramine,Tricyclic Antidepressants|TCA
Wake-Promoting Agents (Atypical Dopamine Reuptake Inhibitors),ABSENT,,,,,,,,0/2,,
Orexin Receptor Antagonists,ABSENT,,,,,,,,0/2,,
Pineal Hormones,ABSENT,,,,,,,,0/1,,
SARIs (Serotonin Antag / Reuptake Inhib),ABSENT,,,,,,,,0/2,,
Monoamine Releasing Agents / Empathogens,MEMBERS ONLY,,,,,,,,1/2,MDMA,
Phosphodiesterase Inhibitors (Non-selective / Spasmolytics),MEMBERS ONLY,,,,,,,,3/3,theophylline|aminophylline|papaverine,
Short-Acting Beta-2 Agonists (SABA),MEMBERS ONLY,,,,,,,,1/2,salbutamol,SABA
Mast Cell Stabilizers,MEMBERS ONLY,,,,,,,,1/3,nedocromil,
Diuretics (Loop),BOLD LABEL,,,,"Loop diuretics (e.g. furosemide, bumetanide)",01_Cardiovascular.md,class name,,2/3,furosemide|bumetanide,Diuretics|loop diuretic
Diuretics (Thiazide-like),BOLD LABEL,,,,Thiazide-like diuretics,01_Cardiovascular.md,class name,,2/4,indapamide|chlortalidone,Diuretics|thiazide
Diuretics (K-Sparing / Aldose Antag),BOLD LABEL,,,,"Aldosterone antagonists (e.g. spironolactone, eplerenone)",01_Cardiovascular.md,"alias ""aldosterone antagonist""",,2/3,spironolactone|eplerenone,Diuretics|potassium-sparing diuretic|aldosterone antagonist
COX-2 Selective NSAIDs,ABSENT,,,,,,,,0/3,,
Non-Selective NSAIDs,MEMBERS ONLY,,,,,,,,3/4,ibuprofen|diclofenac|indomethacin,NSAID
Xanthine Oxidase Inhibitors,MEMBERS ONLY,,,,,,,,2/2,allopurinol|febuxostat,
Chelating Agents,MEMBERS ONLY,,,,,,,,3/4,dimercaprol|penicillamine|EDTA,Chelating Agents|chelation
Specific Reversal Agents / Antidotes,BOLD LABEL,,,,Antidote,10_09a_Haemonc_-_Anticoagulants_and_Antiplatelets.md,"alias ""antidote""",,4/4,naloxone|flumazenil|idarucizumab|andexanet,antidote|reversal agent
Local Anesthetics (VG Na+ Blockers),MEMBERS ONLY,,,,,,,,1/3,intralipid,local anaesthetic toxicity
Iron Chelating Agents,MEMBERS ONLY,,,,,,,,2/3,desferrioxamine|deferasirox,iron chelation
Mu-Opioid Receptor Antagonists,MEMBERS ONLY,,,,,,,,2/3,naloxone|naltrexone,
Carotid Endarterectomy (CEA) (Surgical),MEMBERS ONLY,,,,,,,,1/2,carotid endarterectomy,Carotid Endarterectomy|carotid endarterectomy
